List of Courses for 2020 Spring Semester,,,,,,,,
#,Course Code,Title,_L_T_P_C_ ,Total Student,Course Coordinator,Course Instructor,Slot,Room No
173,CS 354N,Computational Intelligence Lab,0 - 0 - 3 - 1.5,Dr. Aruna Tiwari,Dr. Aruna Tiwari,"Dr. Aruna Tiwari,",,
174,CS 356,Computer Networks Lab,0 - 0 - 3 - 1.5,Dr. Bodhisatwa Mazumdar,Dr. Bodhisatwa Mazumdar,"Dr. Bodhisatwa Mazumdar, Dr. Neminath Hubballi,",,
175,CS 358,Compiler Techniques Lab,0 - 0 - 3 - 1.5,Dr. Gourinath Banda,Dr. Gourinath Banda,"Dr. Gourinath Banda, Dr. Surya Prakash,",,
176,EE 254,Analog Circuits Lab,0 - 0 - 3 - 1.5,Dr. Vipul Singh,Dr. Vipul Singh,"Dr. Trapti Jain, Dr. Vipul Singh,",,
177,EE 256,Electrical Machines Lab,0 - 0 - 4 - 2,Dr. Amod C. Umarikar,Dr. Amod C. Umarikar,"Dr. Amod C. Umarikar, Dr. Trapti Jain,",,
178,EE 258,Digital Systems Lab,0 - 0 - 3 - 1.5,Dr. Mukesh Kumar,Dr. Mukesh Kumar,"Dr. Mukesh Kumar, Dr. Santosh K. Vishvakarma,",,
179,EE 352,Control Systems Lab,0 - 0 - 3 - 1.5,Dr. Saptarshi Ghosh,Dr. Saptarshi Ghosh,"Dr. Saptarshi Ghosh,",,
180,EE 356,Communications Lab,0 - 0 - 3 - 1.5,Prof. Vimal Bhatia,Prof. Vimal Bhatia,"Prof. Vimal Bhatia,",,
181,EE 652,System on Programmable Chip Design Lab,0 - 0 - 4 - 2,Dr. Srivathsan Vasudevan,Dr. Srivathsan Vasudevan,"Dr. Srivathsan Vasudevan,",,
182,EE 654,Analog and Mixed Signal IC Design Lab,0 - 0 - 4 - 2,Dr. Santosh K. Vishvakarma,Dr. Santosh K. Vishvakarma,"Dr. Santosh K. Vishvakarma,",,
183,ME 254,Fluid Mechanics and Machinery Lab,0 - 0 - 3 - 1.5,Dr. Santosh Kumar Sahu,Dr. Santosh Kumar Sahu,"Dr. Santosh Kumar Sahu,",,
184,ME 258,Manufacturing Processes Lab,0 - 0 - 3 - 1.5,Dr. Girish Verma,Dr. Girish Verma,"Dr. Girish Verma,",,
185,ME 352,Applied Thermodynamics Lab,0 - 0 - 3 - 1.5,Dr. Devendra Deshmukh,Dr. Devendra Deshmukh,"Dr. Devendra Deshmukh,",,
186,ME 354,Instrumentation and Controls System Lab,0 - 0 - 3 - 1.5,Dr. I. A. Palani,Dr. I. A. Palani,"Dr. I. A. Palani,",,
187,ME 656,Vibrations and Noise Control Lab,0 - 0 - 3 - 1.5,Prof. Anand Parey,Prof. Anand Parey,"Prof. Anand Parey,",,
188,MM 254,Physical Metallurgy Lab,0 - 0 - 3 - 1.5,Dr. Vinod Kumar,Dr. Vinod Kumar,"Dr. Hemant Borkar, Dr. Ram Sajeevan Maurya, Dr. Vinod Kumar,",,
189,MM 258,Metal Forming Lab,0 - 0 - 3 - 1.5,Dr. Santosh S Hosmani,Dr. Santosh S Hosmani,"Dr. Eswara Prasad Korimilli, Dr. Rupesh S. Devan, Dr. Santosh S Hosmani,",,
190,MM 352,Welding and Foundry Engineering Lab,0 - 0 - 3 - 1.5,Dr. Jayaprakash Murugesan,Dr. Jayaprakash Murugesan,"Dr. Dudekula Althaf Basha, Dr. Jayaprakash Murugesan, Dr. Parasharam M. Shirage, Dr. Sumanta Samal,",,
191,MM 354,Corrosion Engineering Lab,0 - 0 - 3 - 1.5,Dr. Mrigendra Dubey,Dr. Mrigendra Dubey,"Dr. Ajay Kumar Kushwaha, Dr. Dhirendra Kumar Rai, Dr. Mrigendra Dubey,",,
192,PH 692,Physics Laboratory-II,0 - 0 - 8 - 4,Dr. Rajesh Kumar,Dr. Rajesh Kumar,"Dr. Rajesh Kumar,",,
