List of Courses for 2020 Spring Semester,,,,,,,,
#,Course Code,Title,_L_T_P_C_ ,Total Student,Course Coordinator,Course Instructor,Slot,Room No
42,CS 103,Computer Programming,2 - 0 - 0 - 2,139,Dr. Abhishek Srivastava,"Dr. Abhishek Srivastava,",D,1B-201
43,CS 208,Software Engineering,2 - 1 - 0 - 3,65,Dr. Puneet Gupta,"Dr. Puneet Gupta,",D,1E-505
44,CS 306,Computer Networks,2 - 1 - 0 - 3,66,Dr. Neminath Hubballi,"Dr. Bodhisatwa Mazumdar, Dr. Neminath Hubballi,",D,1E-506
45,EE 204,Analog Circuits,2 - 1 - 0 - 3,63,Dr. Vipul Singh,"Dr. Vipul Singh,",D,0
46,EE 308,Power Systems,2 - 1 - 0 - 3,63,Dr. Trapti Jain,"Dr. Abhinoy Kumar Singh, Dr. Trapti Jain,",D,0
47,ME 204,Fluid Machinery,2 - 1 - 0 - 3,63,Dr. Santosh Kumar Sahu,"Dr. Santosh Kumar Sahu,",D,0
48,CE 204,Fluid Mechanics-II,2 - 1 - 0 - 3,66,Dr. Manish Kumar Goyal,Dr. Manish Kumar Goyal,D,1E-202A
49,MM 206,Transport Phenomenon,2 - 1 - 0 - 3,31,Dr. Sumanta Samal,"Dr. Sumanta Samal, Dr. Sunil Kumar,",D,1E-404
50,MM 304,Corrosion Engineering,2 - 1 - 0 - 3,32,Dr. Mrigendra Dubey,"Dr. Ajay Kumar Kushwaha, Dr. Mrigendra Dubey,",D,1E-406
51,PH 105,Physics-I,2 - 1 - 0 - 3,139,Dr. Rajesh Kumar,"Dr. Raghunath Sahoo, Dr. Rajesh Kumar,",E,1B-201
52,ME 106,Basic Mechanical Engineering,2 - 1 - 0 - 3,155,Dr. Girish Verma,"Dr. Girish Verma,",E,IE-104
53,ME 304,Instrumentation and Control System,2 - 1 - 0 - 3,58,Dr. I. A. Palani,"Dr. I. A. Palani,",E,0
